Question,Type,Opt1,Opt2,Opt3,Opt4,Correct,Explanation
"Which keyword is used to define a class in Java?",single,class,Class,define,struct,0,"In Java, the keyword 'class' (lowercase) is used to define a class."
"What is the default value of an int variable in Java?",single,0,null,undefined,1,0,"Primitive int variables default to 0 in Java."
"Which of these are valid access modifiers in Java?",multiple,public,private,protected,internal,"0,1,2","Java has public, private, protected, and default (package-private). Internal is not a Java keyword."
"What does JVM stand for?",single,Java Virtual Machine,Java Variable Memory,Java Visual Mode,Just Virtual Memory,0,"JVM stands for Java Virtual Machine, which executes Java bytecode."
"Which method is the entry point of a Java program?",single,"main()","start()","run()","init()",0,"The main() method is the entry point for Java applications."
"What is the parent class of all classes in Java?",single,Object,Class,Super,Base,0,"All classes in Java inherit from java.lang.Object."
"Which keyword prevents a class from being inherited?",single,final,static,private,sealed,0,"The final keyword prevents a class from being subclassed."
"What is the size of int data type in Java?",single,32 bits,16 bits,64 bits,8 bits,0,"int in Java is always 32 bits (4 bytes)."
"Which of these is NOT a primitive type in Java?",single,String,int,boolean,char,0,"String is a class, not a primitive type. The primitives are byte, short, int, long, float, double, boolean, char."
"What does the 'static' keyword mean?",single,"Belongs to the class, not instances","Cannot be changed","Must be initialized","Thread-safe",0,"Static members belong to the class itself, not to individual instances."
"Which loop guarantees at least one execution?",single,do-while,for,while,foreach,0,"A do-while loop always executes at least once because the condition is checked after the body."
"What is method overloading?",single,"Same name, different parameters","Same name and parameters","Different name, same parameters","None of the above",0,"Overloading means having multiple methods with the same name but different parameter lists."
"Which keyword is used to create an object?",single,new,create,instance,object,0,"The new keyword is used to instantiate objects in Java."
"What is the correct way to declare an array?",single,"int[] arr;","array int arr;","int arr;",Both A and C,3,"Both int[] arr and int arr[] are valid array declarations in Java."
"Which interface is used to implement threads?",multiple,Runnable,Thread,Callable,Executor,"0,2","Runnable and Callable are interfaces for thread tasks. Thread is a class, and Executor is a different interface for managing threads."
